Sub Avg,Takedown Def,Takedown Acc,Takedown Avg,Striking Def,Sapm,Striking Acc,Slpm,Dob,Stance,Reach,Weight,Height,Win Loss Record,Link,Nick Name,Name
1.0,92%,67%,2.29,57%,3.62,41%,3.10,"Jul 29, 1975",Orthodox,"75""",170 lbs.,"5' 10""",Record: 14-6-0 (2 NC),http://ufcstats.com/fighter-details/b0550072e5f0afa7,,Yoshihiro Akiyama
0.0,87%,40%,1.00,57%,3.97,25%,1.80,"Dec 19, 1991",Switch,"72""",170 lbs.,"5' 10""",Record: 6-2-0,http://ufcstats.com/fighter-details/1fc64507a0cb38cf,,Rostem Akman
0.0,57%,14%,0.65,60%,3.14,39%,3.27,"May 14, 1982",Orthodox,--,205 lbs.,"6' 2""",Record: 13-5-0,http://ufcstats.com/fighter-details/38b50fd1e1b5b656,,Razak Al-Hassan
0.0,0%,0%,0.00,53%,3.61,19%,1.36,"Jul 14, 1973",Orthodox,"77""",245 lbs.,"6' 2""",Record: 6-6-0,http://ufcstats.com/fighter-details/1cf1310684a841f5,,Mostapha Al-Turk
0.0,42%,50%,2.06,23%,6.66,65%,3.84,"Jun 07, 1991",Orthodox,"75""",205 lbs.,"6' 2""",Record: 5-1-0,http://ufcstats.com/fighter-details/7578cc6bd750206b,,Herdem Alacabek
0.0,0%,0%,0.00,0%,0.00,0%,0.00,--,,--,135 lbs.,"5' 6""",Record: 0-4-0,http://ufcstats.com/fighter-details/2144954270be834d,,Javi Alanis
0.0,72%,39%,1.78,61%,4.58,33%,2.94,"Dec 14, 1991",Orthodox,"66""",135 lbs.,"5' 5""",Record: 16-8-2,http://ufcstats.com/fighter-details/1897b7b913736a7c,The Mongolian Knight,Alatengheili
1.2,66%,62%,3.09,55%,3.01,42%,3.79,"Oct 27, 1993",Orthodox,"68""",125 lbs.,"5' 5""",Record: 15-1-0,http://ufcstats.com/fighter-details/6d35bf94f7d30241,The Prince,Amir Albazi
0.0,0%,0%,0.00,0%,0.00,0%,0.00,--,,--,225 lbs.,--,Record: 3-2-0,http://ufcstats.com/fighter-details/9b28292abe3166d5,,Brett Albee
6.1,50%,0%,0.00,35%,2.82,49%,3.05,"Oct 13, 1986",Orthodox,"68""",135 lbs.,"5' 8""",Record: 6-5-0,http://ufcstats.com/fighter-details/7bd94b60d7521e4a,Prince,John Albert
0.0,100%,37%,1.54,52%,6.08,51%,3.98,"Mar 15, 1991",Orthodox,"74""",264 lbs.,"6' 3""",Record: 14-6-0,http://ufcstats.com/fighter-details/c482c8605455a213,Baby,Junior Albini
0.0,0%,0%,0.00,0%,0.00,0%,0.00,--,Orthodox,--,188 lbs.,"5' 10""",Record: 0-1-0,http://ufcstats.com/fighter-details/184b955181bdef52,,Wes Albritton
0.4,77%,50%,2.27,38%,5.56,47%,4.83,"Jul 14, 1990",Orthodox,"63""",115 lbs.,"5' 2""",Record: 3-2-0,http://ufcstats.com/fighter-details/e76d9f656ceb82ab,Stitch,Aleksandra Albu
0.0,0%,0%,0.00,25%,3.34,13%,0.32,--,Orthodox,--,185 lbs.,--,Record: 0-3-0,http://ufcstats.com/fighter-details/dd1b90eea08887f6,,Israel Albuquerque
0.0,0%,0%,0.00,0%,0.00,0%,0.00,--,,--,--,--,Record: 1-2-0,http://ufcstats.com/fighter-details/39f62b833e4cf126,,Juan Alcain
0.8,60%,62%,1.44,49%,2.79,45%,2.72,"Aug 04, 1980",Southpaw,"71""",135 lbs.,"5' 9""",Record: 35-10-0 (1 NC),http://ufcstats.com/fighter-details/2f95a3c6d58b2aad,Marajo,Iuri Alcantara
0.9,81%,68%,2.00,50%,2.63,38%,1.93,"Nov 18, 1982",Orthodox,"78""",185 lbs.,"6' 2""",Record: 21-11-0,http://ufcstats.com/fighter-details/7c6e87729e824ef4,Marajo,Ildemar Alcantara
0.0,0%,0%,0.00,0%,0.00,0%,0.00,"Jun 10, 1970",,--,145 lbs.,"5' 3""",Record: 1-3-1,http://ufcstats.com/fighter-details/1e38bba6738b7b10,,Alfonso Alcarez
0.0,33%,40%,2.57,26%,6.26,54%,2.91,"Aug 25, 1977",Orthodox,--,250 lbs.,"6' 1""",Record: 6-2-0,http://ufcstats.com/fighter-details/d26934530dc5b248,El Peligro,Gilbert Aldana
0.3,81%,50%,0.20,60%,5.71,39%,5.39,"Mar 26, 1988",Orthodox,"68""",135 lbs.,"5' 9""",Record: 14-6-0,http://ufcstats.com/fighter-details/578ef12674df1e6a,,Irene Aldana
0.0,0%,100%,0.93,59%,5.08,38%,3.59,"Aug 17, 1988",Orthodox,"72""",170 lbs.,"5' 11""",Record: 4-3-0,http://ufcstats.com/fighter-details/c487223b0289bda9,,Hector Aldana
0.0,57%,0%,0.00,58%,3.13,44%,3.13,"Sep 14, 1991",Orthodox,"68""",135 lbs.,"5' 7""",Record: 14-6-1,http://ufcstats.com/fighter-details/7460ddef986d3144,Pochito,Jose Alday
0.1,91%,54%,0.49,60%,3.74,46%,3.57,"Sep 09, 1986",Orthodox,"70""",135 lbs.,"5' 7""",Record: 31-8-0,http://ufcstats.com/fighter-details/d0f3959b4a9747e6,,Jose Aldo
0.0,75%,37%,0.90,60%,4.54,45%,4.05,"Sep 29, 1992",Southpaw,"67""",125 lbs.,"5' 5""",Record: 11-5-0,http://ufcstats.com/fighter-details/6fd953151d981979,,JJ Aldrich
0.0,0%,0%,0.00,0%,0.00,0%,0.00,"Jun 27, 1990",,--,135 lbs.,"5' 8""",Record: 4-1-0,http://ufcstats.com/fighter-details/103e2e33a60683e1,Russian Ronda,Irina Alekseeva
0.3,80%,41%,2.26,56%,4.38,40%,2.90,"Oct 14, 1986",Orthodox,"71""",145 lbs.,"5' 9""",Record: 13-3-0 (1 NC),http://ufcstats.com/fighter-details/fe5a9547479396ab,The Beast,Jim Alers
1.2,70%,38%,1.85,54%,2.91,39%,2.10,"Jul 05, 1979",Orthodox,"72""",155 lbs.,"5' 10""",Record: 35-17-0 (2 NC),http://ufcstats.com/fighter-details/7a15f3694c5cbc02,The Natural,John Alessio
0.0,33%,57%,1.19,52%,3.20,54%,3.06,"Mar 22, 1972",Orthodox,"72""",205 lbs.,"6' 0""",Record: 17-15-1 (2 NC),http://ufcstats.com/fighter-details/0541480fbf719d86,The Assassin,Houston Alexander
0.0,0%,26%,4.71,66%,2.20,19%,0.88,"Sep 25, 1977",Orthodox,--,155 lbs.,"5' 9""",Record: 7-6-0 (1 NC),http://ufcstats.com/fighter-details/8fd76e1b49c00ae2,The Machine,Kenneth Alexander
0.0,0%,0%,0.00,50%,1.97,50%,0.49,"Jul 28, 1995",Orthodox,"73""",145 lbs.,"5' 11""",Record: 7-3-0,http://ufcstats.com/fighter-details/11583163f45c7b31,The Lion,Lucas Alexander
0.7,66%,20%,0.35,42%,2.89,45%,1.61,"May 05, 1989",Southpaw,"75""",185 lbs.,"6' 0""",Record: 17-4-0,http://ufcstats.com/fighter-details/d53482bef23235ba,Lyoto,Marcio Alexandre Junior
0.7,22%,7%,0.37,53%,4.77,38%,1.65,"Aug 06, 1974",Orthodox,--,170 lbs.,"6' 2""",Record: 8-12-0,http://ufcstats.com/fighter-details/b757c73f443d4fca,,Olaf Alfonso
0.0,0%,0%,0.00,0%,0.00,0%,0.00,"May 09, 1983",,--,145 lbs.,"5' 8""",Record: 9-7-0,http://ufcstats.com/fighter-details/4b37a0bc2ab4cae1,The Hurricane,Pablo Alfonso
0.0,0%,0%,0.00,0%,0.00,0%,0.00,--,,--,--,--,Record: 1-7-0,http://ufcstats.com/fighter-details/41b34b7f11f6d085,,Levi Alford
0.0,55%,38%,0.77,46%,4.14,53%,5.68,"Jun 09, 1989",Switch,"73""",145 lbs.,"6' 0""",Record: 16-7-0,http://ufcstats.com/fighter-details/9abc648e76c4493a,Senor Perfecto,Bill Algeo
0.0,0%,0%,0.00,0%,0.00,0%,0.00,--,Orthodox,--,199 lbs.,"5' 10""",Record: 3-2-0,http://ufcstats.com/fighter-details/669a3cb6e394f515,,Royce Alger
0.0,0%,0%,0.00,0%,0.00,0%,0.00,"Jun 10, 1984",,--,250 lbs.,"6' 3""",Record: 10-1-0,http://ufcstats.com/fighter-details/e17770faae3ca54c,,Amir Aliakbari
0.0,100%,38%,1.76,56%,2.20,45%,1.41,"Sep 17, 1984",Orthodox,"74""",170 lbs.,"5' 11""",Record: 15-3-0,http://ufcstats.com/fighter-details/e70de1859b7ee78e,,Sultan Aliev
0.0,0%,20%,3.26,40%,0.65,58%,6.52,"Dec 08, 2000",Orthodox,"72""",155 lbs.,"5' 10""",Record: 7-0-0,http://ufcstats.com/fighter-details/ca28cdf526d6b6e9,Tajik Eagle,Nurullo Aliev
7.0,0%,33%,6.98,41%,7.91,58%,3.26,"Dec 07, 1992",Southpaw,"76""",185 lbs.,"6' 0""",Record: 13-1-0,http://ufcstats.com/fighter-details/b07aed698fba8624,,Ikram Aliskerov
0.0,0%,0%,0.00,38%,10.11,50%,6.32,"Jul 14, 1989",Orthodox,"74""",185 lbs.,"6' 0""",Record: 10-2-0,http://ufcstats.com/fighter-details/6db394bf6c3b017c,The Albanian Lion,Leon Aliu
0.8,50%,71%,1.40,52%,5.74,42%,3.56,"Feb 22, 1993",Orthodox,"75""",205 lbs.,"6' 1""",Record: 13-7-0 (1 NC),http://ufcstats.com/fighter-details/6ebe96a116e79e52,,John Allan
0.0,50%,0%,0.00,43%,3.10,38%,0.80,"Jan 13, 1967",Open Stance,--,205 lbs.,"6' 2""",Record: 13-19-2,http://ufcstats.com/fighter-details/1e13936d708bcff7,,George Allen
0.4,76%,50%,1.35,67%,2.25,42%,3.40,"Jan 22, 1994",Southpaw,"70""",145 lbs.,"5' 8""",Record: 19-1-0,http://ufcstats.com/fighter-details/040a74bb0a465c54,Almighty,Arnold Allen
1.5,50%,44%,1.31,44%,4.01,55%,3.99,"Dec 28, 1995",Orthodox,"75""",185 lbs.,"6' 2""",Record: 20-5-0,http://ufcstats.com/fighter-details/2f181c0467965b98,All In,Brendan Allen
0.0,26%,50%,0.62,59%,1.90,49%,1.28,"Feb 19, 1981",Orthodox,"76""",170 lbs.,"5' 11""",Record: 18-8-0,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb,Blanco,Ben Alloway
1.2,31%,38%,3.74,61%,1.20,49%,2.02,"Nov 29, 1976",Orthodox,"74""",170 lbs.,"6' 0""",Record: 13-5-0,http://ufcstats.com/fighter-details/91186547a7f3f758,Big Dog,Ricardo Almeida
5.0,40%,0%,0.00,41%,2.60,36%,1.67,"Jun 06, 1985",,--,155 lbs.,"6' 0""",Record: 10-3-0 (1 NC),http://ufcstats.com/fighter-details/d615d6a10a4704cd,,Magno Almeida
0.0,75%,14%,0.17,61%,4.93,43%,4.84,"Jul 31, 1991",Southpaw,"70""",145 lbs.,"5' 7""",Record: 22-5-0,http://ufcstats.com/fighter-details/2b074403b7c6cdb4,Thominhas,Thomas Almeida
0.0,37%,33%,0.50,43%,3.33,39%,1.07,"Mar 05, 1989",Orthodox,--,115 lbs.,"5' 6""",Record: 7-3-0,http://ufcstats.com/fighter-details/67a992d4cff22466,,Ericka Almeida
0.0,0%,0%,0.00,42%,6.07,37%,3.13,"Oct 17, 1988",Orthodox,--,125 lbs.,"5' 4""",Record: 7-3-0,http://ufcstats.com/fighter-details/f16ddfa31236efed,,Estefani Almeida
3.2,50%,75%,7.18,11%,0.43,57%,3.56,"Jun 26, 1991",Orthodox,"79""",205 lbs.,"6' 3""",Record: 17-2-0,http://ufcstats.com/fighter-details/41e83a89929d1327,Malhadinho,Jailton Almeida
0.0,50%,0%,0.00,48%,5.63,47%,6.60,"Jan 31, 1991",Orthodox,"71""",145 lbs.,"5' 11""",Record: 14-1-0,http://ufcstats.com/fighter-details/710f0f8c5d5c9d41,,Lucas Almeida
0.0,0%,0%,0.00,67%,1.91,34%,5.74,"Feb 27, 1980",,--,170 lbs.,"6' 2""",Record: 13-7-0 (1 NC),http://ufcstats.com/fighter-details/c6bf75775b278ed8,,Mauricio Alonso
0.4,20%,26%,1.61,38%,6.06,44%,2.36,"Jun 01, 1991",Southpaw,"63""",135 lbs.,"5' 4""",Record: 9-6-0,http://ufcstats.com/fighter-details/49b130de1da2e1bf,Too Sweet,Sarah Alpar
1.0,60%,29%,3.50,56%,1.97,42%,2.43,"Sep 23, 1990",Orthodox,"68""",135 lbs.,"5' 6""",Record: 8-5-0,http://ufcstats.com/fighter-details/e87a13e02c01331d,The Royal Fighter,Ali AlQaisi
0.0,0%,0%,0.00,0%,0.00,0%,0.00,--,,--,170 lbs.,"5' 10""",Record: 4-3-0,http://ufcstats.com/fighter-details/c61b49cec6abd6b9,,Rico Altamirano
0.0,72%,41%,2.23,50%,5.32,60%,7.04,"Jan 23, 1991",Switch,"70""",125 lbs.,"5' 8""",Record: 11-2-0,http://ufcstats.com/fighter-details/dc7927cd622676a7,El Magnifico,Victor Altamirano
0.0,0%,0%,0.00,75%,2.08,20%,1.56,--,Orthodox,--,185 lbs.,"5' 10""",Record: 1-4-0,http://ufcstats.com/fighter-details/c11036da9162cb5f,,Mike Altman
0.0,0%,0%,0.00,47%,3.25,37%,0.89,"Jul 14, 1971",Orthodox,--,235 lbs.,"6' 0""",Record: 4-3-0,http://ufcstats.com/fighter-details/e741536153227386,,Sean Alvarez
0.5,92%,36%,2.92,55%,4.39,41%,4.32,"Jan 11, 1984",Orthodox,"69""",155 lbs.,"5' 9""",Record: 29-6-0 (1 NC),http://ufcstats.com/fighter-details/33a331684283900f,,Eddie Alvarez
0.0,50%,33%,1.00,56%,4.53,40%,2.73,"Mar 08, 1988",Orthodox,"69""",125 lbs.,"5' 8""",Record: 6-1-0,http://ufcstats.com/fighter-details/4438482bd1d5a029,,Jaime Alvarez
1.2,0%,0%,0.00,49%,3.68,44%,3.44,"Mar 02, 1993",Orthodox,"77""",155 lbs.,"6' 3""",Record: 19-3-0,http://ufcstats.com/fighter-details/58bbef3770bb2dfc,El Fenomeno,Joel Alvarez
0.3,63%,60%,0.71,62%,3.42,41%,3.73,"Oct 03, 1983",Orthodox,"70""",170 lbs.,"5' 9""",Record: 23-15-0,http://ufcstats.com/fighter-details/31ee470ef5dc8d7f,Pitbull,Thiago Alves
0.0,0%,0%,0.00,0%,0.00,0%,0.00,--,,--,--,--,Record: 1-4-0,http://ufcstats.com/fighter-details/bd92cf5da5413d2a,,Anthony Alves
0.0,53%,0%,0.00,30%,2.02,46%,0.50,"Aug 08, 1988",Southpaw,--,170 lbs.,"6' 0""",Record: 15-12-0,http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc,,Amilcar Alves
1.1,78%,52%,1.42,51%,3.63,48%,3.07,"Jan 04, 1991",Orthodox,"72""",170 lbs.,"5' 11""",Record: 15-5-0,http://ufcstats.com/fighter-details/d317a5e2b3f88c5f,,Warlley Alves
1.2,60%,25%,0.41,58%,4.14,50%,2.46,"Nov 14, 1990",Orthodox,"68""",155 lbs.,"5' 8""",Record: 20-11-0,http://ufcstats.com/fighter-details/029afd138865d20a,The Turn,Rafael Alves
0.1,82%,14%,0.06,52%,3.63,44%,3.28,"May 06, 1986",Southpaw,"75""",185 lbs.,"6' 2""",Record: 33-18-1 (1 NC),http://ufcstats.com/fighter-details/d156513a19acf856,Smile'N,Sam Alvey
0.0,20%,0%,0.00,63%,5.91,24%,2.27,--,Orthodox,--,154 lbs.,"6' 0""",Record: 6-4-1,http://ufcstats.com/fighter-details/20821819c401ced8,Dida,Andre Amado
0.0,100%,56%,5.84,78%,0.82,47%,3.29,"Oct 30, 1986",Orthodox,"76""",170 lbs.,"6' 2""",Record: 14-2-1,http://ufcstats.com/fighter-details/1e327b281ef6a745,Borz,Adlan Amagov
0.0,100%,0%,0.00,33%,24.47,35%,5.53,"Jul 11, 1987",Southpaw,--,115 lbs.,"5' 5""",Record: 7-3-0,http://ufcstats.com/fighter-details/247fbbfafea60bb1,,Maiara Amanajas dos Santos
0.0,0%,25%,1.00,57%,6.87,31%,3.67,"Jun 08, 1995",Orthodox,"62""",115 lbs.,"5' 2""",Record: 11-6-0,http://ufcstats.com/fighter-details/02bb48869eb7ac8f,,Rayanne Amanda
0.0,0%,0%,0.00,0%,0.00,0%,0.00,--,,--,185 lbs.,--,Record: 2-0-0,http://ufcstats.com/fighter-details/ee0b69e307c857e5,,Chris Amarante
0.8,100%,57%,3.13,40%,3.76,29%,0.83,"Jan 26, 1970",Southpaw,--,315 lbs.,"6' 2""",Record: 17-21-1,http://ufcstats.com/fighter-details/c912f676692c353a,The Titan,Jimmy Ambriz
0.0,50%,0%,0.00,33%,6.32,69%,3.16,--,Orthodox,--,170 lbs.,"5' 10""",Record: 28-7-0 (2 NC),http://ufcstats.com/fighter-details/d562b12b8fe88336,,JJ Ambrose
0.0,0%,0%,0.00,46%,3.85,30%,0.99,"Apr 06, 1988",Orthodox,"74""",185 lbs.,"5' 10""",Record: 8-4-0,http://ufcstats.com/fighter-details/70fa1c64a2c439ef,,Alen Amedovski
1.1,38%,43%,4.15,46%,2.98,44%,1.35,"Nov 08, 1988",Southpaw,"72""",145 lbs.,"5' 10""",Record: 17-8-0,http://ufcstats.com/fighter-details/87a1dc546b1c5caf,Mr. Finland,Makwan Amirkhani
0.0,0%,0%,0.00,0%,0.00,0%,0.00,"Jun 24, 1995",,--,115 lbs.,"5' 3""",Record: 6-0-0,http://ufcstats.com/fighter-details/bc7d1ad49fcb2d08,,Jaqueline Amorim
0.0,0%,0%,0.00,83%,2.01,39%,6.75,--,Orthodox,--,190 lbs.,"5' 8""",Record: 1-1-0,http://ufcstats.com/fighter-details/53adf5b845d91e4a,,Bertrand Amoussou
1.0,25%,0%,0.00,54%,2.67,34%,1.47,"Nov 21, 1985",Orthodox,--,185 lbs.,"5' 11""",Record: 27-7-2,http://ufcstats.com/fighter-details/23a8c33869bf5392,The Psycho,Karl Amoussou
0.1,75%,25%,1.57,50%,4.20,47%,3.26,"Apr 21, 1987",Southpaw,"75""",185 lbs.,"6' 1""",Record: 14-7-0 (1 NC),http://ufcstats.com/fighter-details/cad24459b28592ca,Ya Boi,Eryk Anders
0.0,0%,0%,0.00,0%,0.00,0%,0.00,"May 29, 1971",Southpaw,--,230 lbs.,"6' 2""",Record: 14-8-1,http://ufcstats.com/fighter-details/8738eacd62e82a32,,Matt Andersen
0.0,0%,0%,0.00,0%,0.00,0%,0.00,"Jul 16, 1974",,--,240 lbs.,"5' 6""",Record: 0-1-0,http://ufcstats.com/fighter-details/9199e0735b83dd32,The Hammer,Andy Anderson
0.0,0%,0%,0.00,0%,0.00,0%,0.00,--,Orthodox,--,160 lbs.,"5' 6""",Record: 0-1-0,http://ufcstats.com/fighter-details/1ffc38f67785797b,,Lowell Anderson
0.0,83%,50%,4.89,59%,2.22,46%,4.43,"Sep 22, 1989",Orthodox,"79""",205 lbs.,"6' 3""",Record: 14-5-0,http://ufcstats.com/fighter-details/5e4eec08896c9423,Overtime,Corey Anderson
0.0,60%,14%,0.34,61%,3.08,37%,3.97,"Feb 02, 1990",,--,155 lbs.,"6' 0""",Record: 14-3-0 (1 NC),http://ufcstats.com/fighter-details/19ba965651486013,Barbaric,Derek Anderson
0.5,53%,25%,0.52,37%,3.35,46%,1.76,"Feb 11, 1990",Orthodox,"72""",145 lbs.,"6' 0""",Record: 11-5-0,http://ufcstats.com/fighter-details/a0e75f4a13eb73f1,,Megan Anderson
0.0,0%,0%,0.00,0%,0.00,0%,0.00,"Apr 26, 1990",,--,135 lbs.,--,Record: 13-3-1,http://ufcstats.com/fighter-details/17615148dd4be6f6,,Tatsuya Ando
0.8,25%,0%,0.00,53%,2.60,36%,0.20,"May 14, 1974",Orthodox,--,200 lbs.,"5' 11""",Record: 10-5-0,http://ufcstats.com/fighter-details/1562b12763cc8d67,El Toro,Alex Andrade
0.5,66%,55%,2.85,53%,5.16,50%,6.16,"Sep 25, 1991",Orthodox,"62""",125 lbs.,"5' 1""",Record: 23-9-0,http://ufcstats.com/fighter-details/6a1901c62ab3870f,Bate Estaca,Jessica Andrade
0.3,66%,50%,1.93,63%,2.77,42%,3.26,"Mar 08, 1984",Orthodox,"75""",170 lbs.,"5' 11""",Record: 19-6-0,http://ufcstats.com/fighter-details/d221ee27afc7a60e,,Viscardi Andrade
0.0,0%,0%,0.00,0%,0.00,0%,0.00,--,Orthodox,--,200 lbs.,"5' 7""",Record: 14-4-0,http://ufcstats.com/fighter-details/9bad58fa651d6196,,Jermaine Andre
